KEY,CN,TC_NT,TC_USD
Text1,金币不足,金幣不足,金幣不足
Text2,你的体力不足，是否使用道具恢复体力？,你的體力不足，是否使用道具恢復體力？,你的體力不足，是否使用道具恢復體力？
Text3,你的灵子不足，是否使用道具增加灵子？,你的靈子不足，是否使用道具增加靈子？,你的靈子不足，是否使用道具增加靈子？
Text4,服务器维护中。,伺服器維護中。,伺服器維護中。
Text5,你确定退出游戏吗？,你確定退出遊戲嗎？,你確定退出遊戲嗎？
Text6,万,萬,萬
Text7,已达到顶级，无法再升星啦！,已達到頂級，無法再升星啦！,已達到頂級，無法再升星啦！
Text8,角色碎片不足！,角色碎片不足！,角色碎片不足！
Text9,需要角色等级：,需要角色等級：,需要角色等級：
Text10,进化需要{0}金币，是否继续？,進化需要{0}金幣，是否繼續？,進化需要{0}金幣，是否繼續？
Text11,已达到顶级，无法再突破啦！,已達到頂級，無法再突破啦！,已達到頂級，無法再突破啦！
Text12,是否确定要突破{0}?,是否確定要突破{0}?,是否確定要突破{0}?
Text13,解锁新技能:,解鎖新技能:,解鎖新技能:
Text14,主角等级达到{0}级可进入,主角等級達到{0}級可進入,主角等級達到{0}級可進入
Text15,可挑战次数：,可挑戰次數：,可挑戰次數：
Text16,今日次数已用完,今日次數已用完,今日次數已用完
Text17,冷却时间没到,冷卻時間沒到,冷卻時間沒到
Text18,主角等级达到{0}级开启！,主角等級達到{0}級開啟！,主角等級達到{0}級開啟！
Text19,通关第{0}章{1}开启！,通關第{0}章{1}開啟！,通關第{0}章{1}開啟！
Text20,灵络等级:,靈絡等級:,靈絡等級:
Text21,招募{0}需要消耗{1}金币，是否确定继续？,招募{0}需要消耗{1}金幣，是否確定繼續？,招募{0}需要消耗{1}金幣，是否確定繼續？
Text22,已拥有该角色，自动转换成{0}个碎片！,已擁有該角色，自動轉換成{0}個碎片！,已擁有該角色，自動轉換成{0}個碎片！
Text23,用少量钻石换取大量体力,用少量鑽石換取大量體力,用少量鑽石換取大量體力
Text24,金币不足，用少量钻石换取大量金币,金幣不足，用少量鑽石換取大量金幣,金幣不足，用少量鑽石換取大量金幣
Text25,用少量钻石换取技能点,用少量鑽石換取技能點,用少量鑽石換取技能點
Text26,吃大餐,吃大餐,吃大餐
Text27,(今日可用{0}),(今日可用{0}),(今日可用{0})
Text28,点石成金,點石成金,點石成金
Text29,(今日已购买{0}次),(今日已購買{0}次),(今日已購買{0}次)
Text30,买技能,買技能,買技能
Text31,今天次数已用完,今天次數已用完,今天次數已用完
Text32,购买成功！,購買成功！,購買成功！
Text33,vip{0}开启{1},vip{0}開啟{1},vip{0}開啟{1}
Text34,购买技能,購買技能,購買技能
Text35,来自：,來自：,來自：
Text36,重置需要花费{0}钻石,重置需要花費{0}鑽石,重置需要花費{0}鑽石
Text37,刷新次数已用完,刷新次數已用完,刷新次數已用完
Text38,需要vip等级{0}，是否立即充值？,需要vip等級{0}，是否立即储值？,需要vip等級{0}，是否立即储值？
Text39,可上阵忍者数+1，当前上限为{0}人。,可上陣忍者數+1，當前上限為{0}人。,可上陣忍者數+1，當前上限為{0}人。
Text40,金币,金幣,金幣
Text41,钻石,鑽石,鑽石
Text42,荣誉币,榮譽幣,榮譽幣
Text43,声望,聲望,聲望
Text44,贡献,貢獻,貢獻
Text45,灵子,靈子,靈子
Text46,体力,體力,體力
Text47,角色,角色,角色
Text48,角色碎片,角色碎片,角色碎片
Text49,装备,裝備,裝備
Text50,道具,道具,道具
Text51,卷轴,卷軸,卷軸
Text52,卷轴碎片,卷軸碎片,卷軸碎片
Text53,经验,經驗,經驗
Text54,今日{0}点,今日{0}點,今日{0}點
Text55,明天{0}点,明天{0}點,明天{0}點
Text56,显示一批新的货物需要消耗[00ff0c]{0}[-]个{1}!\n是否继续？(今日已刷新[00ff0c]{2}[-]次),顯示一批新的貨物需要消耗[00ff0c]{0}[-]個{1}!\n是否繼續？(今日已刷新[00ff0c]{2}[-]次),顯示一批新的貨物需要消耗[00ff0c]{0}[-]個{1}!\n是否繼續？(今日已刷新[00ff0c]{2}[-]次)
Text57,购买{0}个技能点需要消耗{1}钻石!是否继续？(今日已购买{2}次),購買{0}個技能點需要消耗{1}鑽石!是否繼續？(今日已購買{2}次),購買{0}個技能點需要消耗{1}鑽石!是否繼續？(今日已購買{2}次)
Text58,弹出当前VIP等级购买体力已达上限，是否立即充值?,彈出當前VIP等級購買體力已達上限，是否立即储值?,彈出當前VIP等級購買體力已達上限，是否立即储值?
Text59,钻石不足，是否立即充值？,鑽石不足，是否立即储值？,鑽石不足，是否立即储值？
Text60,{0}不足，是否前往商城购买？,{0}不足，是否前往商城購買？,{0}不足，是否前往商城購買？
Text61,显示一批新的货物。是否继续？\n（免费刷新次数:[00ff0c]{0}[-]/{1}),顯示一批新的貨物。是否繼續？\n（免費刷新次數:[00ff0c]{0}[-]/{1}),顯示一批新的貨物。是否繼續？\n（免費刷新次數:[00ff0c]{0}[-]/{1})
Text62,解锁新的培养位{0}！,解鎖新的培養位{0}！,解鎖新的培養位{0}！
Text63,{0}不足，是否前往闯关战斗获得灵子？,{0}不足，是否前往闖關戰鬥獲得靈子？,{0}不足，是否前往闖關戰鬥獲得靈子？
Text64,必须穿齐觉醒装备才可以觉醒！,必須穿齊覺醒裝備才可以覺醒！,必須穿齊覺醒裝備才可以覺醒！
Text65,总计：,總計：,總計：
Text66,原：,原：,原：
Text67,今日购买次数：{0},今日購買次數：{0},今日購買次數：{0}
Text68,充值,储值,储值
Text69,充值成为[ffe45e]VIP{0}[-]每天可以获得[7ee975]{1}[-]次购买,储值成為[ffe45e]VIP{0}[-]每天可以獲得[7ee975]{1}[-]次購買,储值成為[ffe45e]VIP{0}[-]每天可以獲得[7ee975]{1}[-]次購買
Text70,提示,提示,提示
Text71,上阵人数:[00ff12]{0}[-],上陣人數:[00ff12]{0}[-],上陣人數:[00ff12]{0}[-]
Text72,阵容战力:[00ff12]{0}[-],陣容戰力:[00ff12]{0}[-],陣容戰力:[00ff12]{0}[-]
Text73,阵位{0},陣位{0},陣位{0}
Text74,日常任务解锁,日常任務解鎖,日常任務解鎖
Text75,角色等级达到{0}开放技能！,角色等級達到{0}開放技能！,角色等級達到{0}開放技能！
Text76,技能已开启！,技能已開啟！,技能已開啟！
Text77,请选择材料,請選擇材料,請選擇材料
Text78,此材料已用完,此材料已用完,此材料已用完
Text79,强化所需经验已达上限！,強化所需經驗已達上限！,強化所需經驗已達上限！
Text80,上阵人数不足，是否继续战斗？,上陣人數不足，是否繼續戰鬥？,上陣人數不足，是否繼續戰鬥？
Text81,已进化至最高等级,已進化至最高等級,已進化至最高等級
Text82,用于提升忍者进化等级,用於提升忍者進化等級,用於提升忍者進化等級
Text83,请先进行布阵！,請先進行佈陣！,請先進行佈陣！
Text84,连接超时，请重登!,連接逾時，請重登!,連接逾時，請重登!
Text85,可挑战次数：{0}次,可挑戰次數：{0}次,可挑戰次數：{0}次
Text86,你确定花费[00ff00]{0}[-]钻石再购买一次挑战机会吗？,你確定花費[00ff00]{0}[-]鑽石再購買一次挑戰機會嗎？,你確定花費[00ff00]{0}[-]鑽石再購買一次挑戰機會嗎？
Text87,当前技能点：[00FF00]{0}[-],當前技能點：[00FF00]{0}[-],當前技能點：[00FF00]{0}[-]
Text88,灵络等级达到[3cff00]{0}[-]解锁,靈絡等級達到[3cff00]{0}[-]解鎖,靈絡等級達到[3cff00]{0}[-]解鎖
Text89,去觉醒,去覺醒,去覺醒
Text90,修炼,修煉,修煉
Text91,需要{0}级,需要{0}級,需要{0}級
Text92,合成,合成,合成
Text93,获得,獲得,獲得
